Time Taken 1,Time Taken 2,Time Taken 3,Time Taken 4,Time Taken 5,Time Taken 6,Time Taken 7,Time Taken 8,Time Taken 9,Time Taken 10,Time Taken 11,Time Taken 12,Time Taken 13,Time Taken 14
0.362358332,0.34134984,0.347403526,0.369217634,0.34295702,0.371539593,0.361906528,0.372843504,0.360257149,0.373086214,0.370747805,0.367800951,0.376986742,0.371868849
0.378654242,0.356393576,0.361354828,0.382350206,0.378280401,0.389796495,0.386901379,0.39225173,0.37941432,0.392091751,0.397530079,0.384316921,0.397711754,0.393466949
0.399678707,0.371396303,0.372308254,0.406498432,0.391031504,0.420684814,0.402694225,0.431780338,0.398075342,0.44233942,0.400549889,0.407017946,0.3960495,0.404574871
0.427759409,0.385501862,0.38828516,0.415907145,0.398035526,0.42292428,0.46973896,0.433154106,0.415580511,0.425206184,0.471599579,0.42753768,0.416507721,0.43437314
0.434830189,0.402917147,0.409042597,0.436845303,0.407846928,0.438211441,0.435087442,0.483865976,0.42872715,0.449189425,0.442563772,0.450079441,0.433892488,0.43025732
0.441826344,0.417887688,0.439466476,0.456259012,0.418430567,0.443009853,0.458737612,0.460971117,0.482896805,0.452400923,0.452107668,0.458845139,0.450711727,0.470242977
0.475554228,0.435744286,0.445726871,0.454443693,0.436589479,0.536687374,0.480948448,0.472955227,0.530294418,0.473483801,0.462152719,0.472462177,0.521938324,0.472327471
0.502481222,0.457910299,0.45155549,0.488443613,0.455220461,0.534859419,0.505907297,0.500094414,0.480733633,0.486940145,0.493186712,0.492969275,0.504979849,0.491909027
0.505369663,0.474243402,0.469674826,0.508689165,0.46969986,0.541336536,0.518103361,0.521913052,0.506937027,0.508196354,0.531541348,0.517889977,0.517632723,0.507118225
0.526237488,0.490675926,0.538178444,0.524687529,0.516404629,0.538393021,0.540267229,0.553452969,0.528833151,0.528006315,0.555611849,0.524757624,0.532588959,0.572675943
0.548319578,0.51184988,0.518632412,0.547255516,0.522217751,0.548236609,0.550917864,0.590690613,0.539029598,0.550171852,0.565012932,0.550267458,0.554639816,0.55354619
0.57754755,0.526442289,0.537968874,0.567189932,0.535359621,0.742462397,0.572751284,0.57843399,0.562289,0.577761412,0.550791979,0.569769621,0.575238466,0.561038494
0.60866785,0.550700426,0.57348752,0.588853121,0.556215763,0.623080015,0.599641323,0.604357004,0.578985929,0.611948013,0.637932539,0.628634214,0.58505249,0.58871007
